French,English
partie,part
chercher,search
seulement,only
police,police
genre,kind
mois,month
car,because
parlé,speak
arrivé,come
longtemps,long time
heures,hours
pendant,while
revoir,meet again
place,square
parle,speak
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
train,train
corps,body
endroit,place
façon,way
dont,whose
trouve,find
perdu,lost
main,hand
côté,side
sois,be
tiens,here
venu,came
suite,after
venez,come
vers,towards
demandé,request
chambre,bedroom
belle,beautiful
mari,husband
cause,cause
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
